Customer ID,Contract,Dependents,Device Protection,Internet Service,Monthly Charges,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Tech Support,Total Charges,Gender,Tenure,Churn_Status
0013-SMEOE,Two year,No,Yes,Fiber optic,109.7,No,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,Yes,Yes,Yes,Yes,7904.25,Female,71,No
0017-IUDMW,Two year,Yes,Yes,Fiber optic,116.8,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,8456.75,Female,72,No
0019-EFAEP,Two year,No,Yes,Fiber optic,101.3,Yes,Yes,Yes,Yes,No,Bank transfer automatic,Yes,No,No,Yes,No,7261.25,Female,72,No
0020-INWCK,Two year,Yes,Yes,Fiber optic,95.75,Yes,Yes,No,Yes,Yes,Credit card automatic,Yes,No,Yes,No,No,6849.4,Female,71,No
0023-HGHWL,Month-to-month,No,No,DSL,25.1,No phone service,No,No,Yes,No,Electronic check,No,Yes,No,No,No,25.1,Male,1,Yes
0030-FNXPP,Month-to-month,No,No internet service,No,19.85,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,57.2,Female,3,No
0032-PGELS,Month-to-month,Yes,No,DSL,30.5,No phone service,No,Yes,No,Yes,Bank transfer automatic,No,No,No,No,No,30.5,Female,1,Yes
0052-DCKON,One year,No,Yes,Fiber optic,115.8,Yes,Yes,Yes,No,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,7942.15,Male,66,No
0082-LDZUE,Month-to-month,No,No,DSL,44.3,No,No,No,Yes,No,Mailed check,Yes,No,No,No,No,44.3,Male,1,No
0100-DUVFC,One year,No,Yes,Fiber optic,104.8,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,7308.95,Male,70,No
0106-UGRDO,Two year,No,Yes,Fiber optic,116,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,8182.85,Female,69,No
